Date,Close
12/20/2018,114.52
12/21/2018,107.74
12/22/2018,116.09
12/23/2018,129.61
12/24/2018,139.09
12/25/2018,128.82
12/26/2018,130.47
12/27/2018,114.63
12/28/2018,136.82
12/29/2018,134.15
12/30/2018,138.78
